Workbook,Format,Project,Branch,Directory,PublishDate,ModifiedDate
Job Cost Inquiry,.twbx,Operations - Edmonton,Edmonton,/thorpespecialtyservicescorporation/projects/113334/workbooks,2018-08-30 12:46:30,
Job Cost Inquiry,.twbx,Operations - Abbotsford-Cor,Abbotsford-Cor,/thorpespecialtyservicescorporation/projects/113330/workbooks,2018-08-30 12:47:20,
Job Cost Inquiry,.twbx,Operations - Abbotsford-Ref,Abbotsford-Ref,/thorpespecialtyservicescorporation/projects/113331/workbooks,2018-08-30 12:47:44,
Job Cost Inquiry,.twbx,Operations - Birmingham,Birmingham,/thorpespecialtyservicescorporation/projects/113347/workbooks,2018-08-30 12:48:11,
Job Cost Inquiry,.twbx,Operations - Corpus Christi,Corpus Christi,/thorpespecialtyservicescorporation/projects/113333/workbooks,2018-08-30 12:48:35,
Job Cost Inquiry,.twbx,Operations - Engineered Products,Engineered Products,/thorpespecialtyservicescorporation/projects/113335/workbooks,2018-08-30 12:48:58,
Job Cost Inquiry,.twbx,Operations - Flooring,Flooring,/thorpespecialtyservicescorporation/projects/113336/workbooks,2018-08-30 12:49:21,
Job Cost Inquiry,.twbx,Operations - Harrison,Harrison,/thorpespecialtyservicescorporation/projects/113337/workbooks,2018-08-30 12:49:43,
Job Cost Inquiry,.twbx,Operations - Houston-Cor,Houston-Cor,/thorpespecialtyservicescorporation/projects/113338/workbooks,2018-08-30 12:50:05,
Job Cost Inquiry,.twbx,Operations - Houston-Ref,Houston-Ref,/thorpespecialtyservicescorporation/projects/113339/workbooks,2018-08-30 12:50:29,
Job Cost Inquiry,.twbx,Operations - International,International,/thorpespecialtyservicescorporation/projects/113340/workbooks,2018-08-30 12:50:51,
Job Cost Inquiry,.twbx,Operations - JT-Beaumont,JT-Beaumont,/thorpespecialtyservicescorporation/projects/113356/workbooks,2018-08-30 12:51:11,
Job Cost Inquiry,.twbx,Operations - JT-Houston,JT-Houston,/thorpespecialtyservicescorporation/projects/113341/workbooks,2018-08-30 12:51:35,
Job Cost Inquiry,.twbx,Operations - St. Gabriel-Cor,St. Gabriel-Cor,/thorpespecialtyservicescorporation/projects/113342/workbooks,2018-08-30 12:51:59,
Job Cost Inquiry,.twbx,Operations - St. Gabriel-Ref,St. Gabriel-Ref,/thorpespecialtyservicescorporation/projects/113343/workbooks,2018-08-30 12:52:24,
Job Cost Inquiry,.twbx,Operations - Tulsa,Tulsa,/thorpespecialtyservicescorporation/projects/113344/workbooks,2018-08-30 12:52:46,
